count_id,line,species_id,site_code,liana,count
376,2,4163,BANYONG,,1.0
377,8,4163,BANYONG,,1.0
378,1,4322,BANYONG,,1.0
379,3,4323,BANYONG,,1.0
380,4,4324,BANYONG,l,2.0
381,5,4324,BANYONG,l,1.0
382,7,4324,BANYONG,l,1.0
383,8,4324,BANYONG,l,1.0
384,7,4326,BANYONG,l,1.0
385,9,4327,BANYONG,l,1.0
386,9,4445,BANYONG,l,1.0
387,9,4467,BANYONG,,1.0
388,3,4767,BANYONG,,1.0
389,9,4814,BANYONG,,1.0
390,1,4834,BANYONG,,1.0
391,7,4860,BANYONG,,1.0
392,9,4926,BANYONG,l,1.0
393,6,4937,BANYONG,,1.0
394,1,4987,BANYONG,,1.0
395,4,4987,BANYONG,,1.0
396,9,5001,BANYONG,,1.0
397,2,5002,BANYONG,,2.0
398,4,5002,BANYONG,,1.0
399,7,5002,BANYONG,,1.0
400,10,5009,BANYONG,,1.0
401,4,5010,BANYONG,,1.0
402,5,5029,BANYONG,l,1.0
403,5,5030,BANYONG,l,1.0
404,4,5031,BANYONG,l,1.0
405,10,5051,BANYONG,,1.0
406,5,5154,BANYONG,,1.0
407,5,5542,BANYONG,,1.0
408,6,5542,BANYONG,,1.0
409,7,5542,BANYONG,,1.0
410,5,5563,BANYONG,,1.0
411,8,5563,BANYONG,,1.0
412,7,5565,BANYONG,l,1.0
413,5,5626,BANYONG,l,1.0
414,7,5627,BANYONG,l,1.0
415,8,5628,BANYONG,l,2.0
416,7,5771,BANYONG,l,1.0
417,2,5864,BANYONG,,2.0
418,3,5864,BANYONG,,1.0
419,4,5864,BANYONG,,2.0
420,10,5864,BANYONG,,1.0
421,6,6040,BANYONG,,1.0
422,2,6076,BANYONG,,1.0
423,3,6102,BANYONG,,2.0
424,6,6102,BANYONG,,1.0
425,7,6102,BANYONG,,2.0
426,8,6102,BANYONG,,1.0
427,4,6173,BANYONG,,1.0
428,5,6173,BANYONG,,2.0
429,7,6173,BANYONG,,2.0
430,8,6173,BANYONG,,1.0
431,3,6276,BANYONG,l,1.0
432,9,6284,BANYONG,,1.0
433,2,6285,BANYONG,,1.0
434,3,6285,BANYONG,,3.0
435,8,6430,BANYONG,,1.0
436,1,6546,BANYONG,,2.0
437,3,6546,BANYONG,,1.0
438,5,6546,BANYONG,,2.0
439,4,6815,BANYONG,,2.0
440,8,6815,BANYONG,,1.0
441,9,6815,BANYONG,,2.0
442,9,6820,BANYONG,,2.0
443,4,7226,BANYONG,,1.0
444,7,7308,BANYONG,,1.0
445,8,7309,BANYONG,,1.0
446,6,7324,BANYONG,,2.0
447,7,7324,BANYONG,,1.0
448,8,7324,BANYONG,,1.0
449,9,7324,BANYONG,,1.0
450,4,7325,BANYONG,,1.0
451,3,7352,BANYONG,,1.0
452,5,7352,BANYONG,,2.0
453,2,7354,BANYONG,,1.0
454,4,7354,BANYONG,,2.0
455,7,7354,BANYONG,,1.0
456,1,7355,BANYONG,,1.0
457,3,7355,BANYONG,,1.0
458,6,7355,BANYONG,,1.0
459,8,7355,BANYONG,,1.0
460,7,7356,BANYONG,,1.0
461,8,7356,BANYONG,,1.0
462,1,7427,BANYONG,,2.0
463,10,7427,BANYONG,,1.0
464,9,7428,BANYONG,,2.0
465,2,7430,BANYONG,,1.0
466,6,7430,BANYONG,,1.0
467,9,7610,BANYONG,,1.0
468,10,7610,BANYONG,,1.0
469,3,8117,BANYONG,,1.0
470,6,8117,BANYONG,,1.0
471,7,8137,BANYONG,,1.0
472,2,8154,BANYONG,,2.0
473,4,8154,BANYONG,,2.0
474,5,8154,BANYONG,,1.0
475,6,8175,BANYONG,,2.0
476,3,8204,BANYONG,,1.0
477,4,8204,BANYONG,,1.0
478,8,8204,BANYONG,,1.0
479,4,8326,BANYONG,,1.0
480,4,8573,BANYONG,,1.0
481,9,8581,BANYONG,,1.0
482,10,8582,BANYONG,,2.0
483,2,8583,BANYONG,,1.0
484,4,8583,BANYONG,,1.0
485,5,8583,BANYONG,,1.0
486,6,8583,BANYONG,,1.0
487,7,8583,BANYONG,,1.0
488,7,8583,BANYONG,,1.0
489,5,8584,BANYONG,,1.0
490,3,8609,BANYONG,,1.0
491,7,8636,BANYONG,,1.0
492,3,8742,BANYONG,,3.0
493,4,8742,BANYONG,,3.0
494,6,8825,BANYONG,,1.0
495,9,8866,BANYONG,,1.0
496,10,8867,BANYONG,,3.0
497,5,8868,BANYONG,,2.0
498,7,8868,BANYONG,,1.0
499,3,8872,BANYONG,,2.0
500,4,8872,BANYONG,,2.0
501,8,8872,BANYONG,,2.0
502,2,8925,BANYONG,,1.0
503,8,9044,BANYONG,,1.0
504,3,9045,BANYONG,,1.0
505,6,9045,BANYONG,,1.0
506,10,9047,BANYONG,,2.0
507,3,9050,BANYONG,,1.0
508,7,9051,BANYONG,,1.0
509,6,9054,BANYONG,,1.0
510,10,9182,BANYONG,,9.0
511,9,9183,BANYONG,,1.0
512,9,9183,BANYONG,,1.0
513,5,9184,BANYONG,,2.0
514,5,9186,BANYONG,,1.0
515,10,9186,BANYONG,,2.0
516,9,9187,BANYONG,,1.0
517,3,9193,BANYONG,,1.0
518,4,9193,BANYONG,,3.0
519,7,9193,BANYONG,,1.0
520,3,9195,BANYONG,,1.0
521,3,9195,BANYONG,,1.0
522,4,9195,BANYONG,,2.0
523,3,9196,BANYONG,,1.0
524,5,9196,BANYONG,,1.0
525,5,9196,BANYONG,,1.0
526,7,9196,BANYONG,,1.0
527,8,9196,BANYONG,,1.0
528,4,9197,BANYONG,,1.0
529,6,9198,BANYONG,,1.0
530,5,9199,BANYONG,,3.0
531,8,9199,BANYONG,,1.0
532,9,9200,BANYONG,,1.0
533,10,9200,BANYONG,,1.0
534,1,9206,BANYONG,,1.0
535,4,9206,BANYONG,,2.0
536,7,9206,BANYONG,,1.0
537,8,9206,BANYONG,,3.0
538,10,9207,BANYONG,,1.0
539,6,9236,BANYONG,,1.0
540,2,9249,BANYONG,,1.0
541,3,9273,BANYONG,,1.0
542,3,9284,BANYONG,,1.0
543,2,9402,BANYONG,,1.0
544,3,9402,BANYONG,,1.0
545,4,9402,BANYONG,,1.0
546,10,9402,BANYONG,,1.0
547,7,9403,BANYONG,,1.0
548,2,9613,BANYONG,,1.0
549,1,9676,BANYONG,,2.0
550,2,9676,BANYONG,,4.0
551,3,9676,BANYONG,,1.0
552,4,9676,BANYONG,,1.0
553,5,9676,BANYONG,,4.0
554,6,9676,BANYONG,,2.0
555,7,9676,BANYONG,,1.0
556,1,9677,BANYONG,,1.0
557,4,9677,BANYONG,,1.0
558,6,9677,BANYONG,,1.0
559,8,9677,BANYONG,,1.0
560,4,9678,BANYONG,,1.0
561,7,9678,BANYONG,,1.0
562,9,9679,BANYONG,,4.0
563,10,9679,BANYONG,,3.0
564,10,9680,BANYONG,,1.0
565,9,9705,BANYONG,l,2.0
566,2,141,BELINGA,,1.0
567,4,141,BELINGA,,1.0
568,3,143,BELINGA,,1.0
569,3,165,BELINGA,,1.0
570,1,337,BELINGA,l,1.0
571,1,378,BELINGA,,2.0
572,2,378,BELINGA,,2.0
573,3,378,BELINGA,,1.0
574,5,378,BELINGA,,1.0
575,3,380,BELINGA,l,1.0
576,5,488,BELINGA,l,1.0
577,1,489,BELINGA,l,1.0
578,1,495,BELINGA,l,3.0
579,5,495,BELINGA,l,1.0
580,1,541,BELINGA,l,3.0
581,5,661,BELINGA,l,3.0
582,3,690,BELINGA,,1.0
583,1,1317,BELINGA,,1.0
584,1,1836,BELINGA,,1.0
585,2,1836,BELINGA,,1.0
586,6,2292,BELINGA,l,1.0
587,5,2313,BELINGA,l,1.0
588,3,2387,BELINGA,,1.0
589,4,2387,BELINGA,,1.0
590,2,2481,BELINGA,,1.0
591,5,2481,BELINGA,,1.0
592,1,2567,BELINGA,,1.0
593,5,2580,BELINGA,,1.0
594,5,2593,BELINGA,,1.0
595,1,2594,BELINGA,,1.0
596,5,2594,BELINGA,,1.0
597,1,2763,BELINGA,,1.0
598,2,2763,BELINGA,,7.0
599,2,2798,BELINGA,l,1.0
600,3,2798,BELINGA,l,1.0
601,4,3008,BELINGA,l,1.0
602,5,3008,BELINGA,l,1.0
603,1,3018,BELINGA,l,1.0
604,2,3018,BELINGA,l,1.0
605,2,3021,BELINGA,l,1.0
606,3,3033,BELINGA,,1.0
607,2,3154,BELINGA,,1.0
608,1,3180,BELINGA,,1.0
609,3,3185,BELINGA,,1.0
610,1,3215,BELINGA,,2.0
611,2,3215,BELINGA,,1.0
612,3,3215,BELINGA,,1.0
613,4,3215,BELINGA,,1.0
614,1,3507,BELINGA,,2.0
615,2,3507,BELINGA,,1.0
616,4,3507,BELINGA,,4.0
617,2,3553,BELINGA,,2.0
618,1,3556,BELINGA,,3.0
619,3,3556,BELINGA,,2.0
620,5,3556,BELINGA,,1.0
621,1,3566,BELINGA,,1.0
622,1,3567,BELINGA,,1.0
623,2,3568,BELINGA,,1.0
624,3,3690,BELINGA,,1.0
625,3,3712,BELINGA,,1.0
626,1,3757,BELINGA,,3.0
627,4,3757,BELINGA,,1.0
628,5,3757,BELINGA,,2.0
629,1,3767,BELINGA,,1.0
630,2,3767,BELINGA,,1.0
631,3,3767,BELINGA,,2.0
632,1,3980,BELINGA,,3.0
633,2,3980,BELINGA,,1.0
634,3,3980,BELINGA,,1.0
635,4,3980,BELINGA,,1.0
636,5,3980,BELINGA,,1.0
637,3,4039,BELINGA,l,1.0
638,5,4078,BELINGA,,1.0
639,3,4150,BELINGA,,1.0
640,4,4449,BELINGA,,1.0
641,4,4464,BELINGA,,1.0
642,5,4466,BELINGA,,1.0
643,1,4565,BELINGA,,1.0
644,3,4565,BELINGA,,1.0
645,5,4565,BELINGA,,3.0
646,5,4935,BELINGA,,1.0
647,5,4936,BELINGA,,1.0
648,2,5051,BELINGA,,1.0
649,2,5056,BELINGA,,1.0
650,5,5057,BELINGA,,1.0
651,4,5146,BELINGA,,1.0
652,4,6042,BELINGA,,1.0
653,4,6042,BELINGA,,1.0
654,5,6042,BELINGA,,1.0
655,3,6100,BELINGA,,1.0
656,2,6101,BELINGA,,1.0
657,1,6164,BELINGA,,1.0
658,2,6164,BELINGA,,4.0
659,3,6164,BELINGA,,2.0
660,5,6164,BELINGA,,6.0
661,1,7303,BELINGA,,1.0
662,5,7304,BELINGA,,2.0
663,5,7319,BELINGA,l,3.0
664,3,7337,BELINGA,,1.0
665,1,7350,BELINGA,,1.0
666,5,7350,BELINGA,,1.0
667,3,7354,BELINGA,,1.0
668,3,7898,BELINGA,,1.0
669,1,7908,BELINGA,,1.0
670,2,7910,BELINGA,,2.0
671,4,7910,BELINGA,,1.0
672,1,8224,BELINGA,,1.0
673,5,8310,BELINGA,,1.0
674,5,8373,BELINGA,,1.0
675,5,8374,BELINGA,,1.0
676,1,8585,BELINGA,,1.0
677,3,8586,BELINGA,,3.0
678,4,8586,BELINGA,,1.0
679,5,8622,BELINGA,,1.0
680,3,8635,BELINGA,,1.0
681,2,8679,BELINGA,,1.0
682,4,8679,BELINGA,,1.0
683,5,8679,BELINGA,,1.0
684,4,8873,BELINGA,,1.0
685,3,9039,BELINGA,,1.0
686,5,9053,BELINGA,,1.0
687,4,9066,BELINGA,,1.0
688,1,9189,BELINGA,,1.0
689,3,9189,BELINGA,,1.0
690,4,9189,BELINGA,,1.0
691,3,9201,BELINGA,,1.0
692,1,9211,BELINGA,,1.0
693,1,9237,BELINGA,,3.0
694,2,9237,BELINGA,,2.0
695,3,9237,BELINGA,,1.0
696,4,9237,BELINGA,,1.0
697,1,9256,BELINGA,,1.0
698,3,9256,BELINGA,,2.0
699,4,9256,BELINGA,,2.0
700,5,9256,BELINGA,,2.0
701,3,9676,BELINGA,,7.0
702,4,9676,BELINGA,,3.0
703,4,9690,BELINGA,,1.0
704,3,1195,BEZA1,,2.0
705,3,1200,BEZA1,,1.0
706,4,1200,BEZA1,,3.0
707,8,1200,BEZA1,,2.0
708,9,1200,BEZA1,,1.0
